Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2023-01-12,1065.2,17.19,79.49,30.4,46.84,25.86,58.8,76.85,14.41,10.96,18.23,13.17,93.3,41.37,14.95,13.24,35.08,11.75,80.75,14.5,24.95,13.5,11.76,48.03,51.5,13.71,55.0,109.8,72.75,16.92,28.7
2023-01-13,1069.1,16.95,79.58,30.66,46.65,26.04,58.29,76.48,14.16,10.99,18.14,13.17,95.0,41.32,14.3,12.65,35.04,11.85,83.49,14.42,25.3,13.48,11.76,48.6,52.0,13.86,55.0,107.7,73.3,17.56,28.6
2023-01-16,1075.2,17.54,79.58,32.78,45.93,26.85,58.88,75.39,14.79,11.16,18.41,13.35,94.9,41.17,13.65,12.38,34.8,11.85,84.66,14.57,25.5,13.63,11.55,49.45,51.3,14.02,54.8,107.3,72.21,17.56,28.5
2023-01-17,1107.0,17.75,81.14,32.97,46.36,27.38,59.75,76.26,15.33,11.39,19.68,14.0,97.5,42.3,14.0,12.74,35.32,12.15,83.98,15.32,26.55,14.06,12.07,50.63,52.0,14.4,55.2,110.6,73.57,17.74,29.85
2023-01-18,1117.3,17.89,82.11,33.08,46.17,27.52,60.77,76.34,15.57,11.52,19.73,14.11,99.9,44.17,14.15,12.92,35.94,12.15,83.98,15.44,26.8,14.11,12.39,50.97,52.5,14.4,56.7,112.3,73.94,17.78,29.3
2023-01-19,1121.0,18.24,81.92,33.7,47.6,27.83,61.14,76.48,15.87,11.56,19.23,14.14,102.0,44.81,14.05,12.78,35.94,12.2,83.4,15.92,26.8,14.11,12.6,52.67,52.2,14.4,57.4,114.5,73.94,17.65,29.65
2023-01-27,1127.0,18.49,82.79,32.67,48.65,27.16,61.21,79.19,16.4,11.69,19.55,14.22,103.7,45.11,13.95,12.38,36.03,12.2,86.72,15.74,26.65,14.09,12.86,52.67,53.3,14.68,59.2,116.2,72.75,17.83,30.3
2023-01-30,1109.8,17.82,82.4,32.64,48.17,26.62,60.99,78.02,16.06,12.05,19.77,13.89,102.0,45.4,13.95,12.38,35.04,12.35,85.33,15.77,25.85,13.92,12.55,50.92,51.5,14.49,57.7,113.0,72.21,17.42,29.8
2023-01-31,1125.0,18.28,82.4,33.08,48.08,27.3,60.85,77.8,16.25,12.31,20.09,14.11,101.1,45.69,14.2,12.51,34.8,12.4,84.88,16.22,27.1,14.26,13.12,52.05,50.9,14.81,57.1,116.3,70.12,17.6,29.7
2023-02-01,1088.5,17.68,81.62,31.39,47.7,25.95,59.75,78.02,15.14,12.55,19.18,13.64,95.2,46.28,14.55,12.56,34.28,11.95,83.98,15.13,25.65,13.67,12.44,50.46,48.0,14.84,55.2,113.9,70.21,16.56,28.0
2023-02-02,1088.0,17.54,81.62,31.65,47.65,26.13,59.68,78.31,14.84,12.12,19.36,13.67,96.7,49.04,14.2,12.42,34.23,12.0,84.21,15.13,26.15,13.58,12.55,51.31,47.9,14.84,55.8,112.0,69.75,16.65,28.85
2023-02-03,1081.9,17.19,81.62,31.79,47.41,26.0,58.37,77.0,14.99,12.25,19.18,13.42,96.5,46.97,14.95,12.38,35.27,12.15,86.59,14.83,26.05,13.14,12.6,52.67,48.1,15.28,56.0,109.1,69.12,16.52,29.2
2023-02-06,1090.6,17.47,81.62,33.0,48.27,26.76,58.66,77.58,15.18,12.22,19.23,13.49,96.3,46.33,15.4,12.42,36.69,12.55,87.76,15.02,25.7,13.55,12.65,54.37,47.95,14.87,56.0,109.5,70.39,16.74,29.5
2023-02-07,1067.3,17.26,81.62,32.12,46.93,26.13,58.8,77.8,14.41,11.89,17.95,13.24,94.1,44.91,14.6,11.56,36.88,12.2,85.87,14.31,25.75,13.29,12.81,52.11,46.8,14.49,55.0,109.4,69.21,16.25,28.55
2023-02-08,1072.0,17.3,82.11,32.64,46.98,26.76,59.17,78.53,14.36,12.08,18.95,13.28,93.5,43.73,14.3,11.16,35.18,12.25,88.56,14.65,25.0,13.5,12.91,53.35,46.6,14.59,54.4,108.0,68.94,16.25,28.5
2023-02-09,1057.0,17.19,82.3,32.27,47.08,26.31,58.8,79.12,14.55,12.02,18.73,13.31,91.8,43.24,14.15,10.89,35.84,12.0,87.04,14.53,24.45,13.24,12.73,52.67,45.3,14.45,54.2,101.9,68.21,16.29,28.2
2023-02-10,1045.0,16.98,82.11,31.5,47.51,26.04,58.8,77.65,14.26,11.98,18.64,13.21,91.2,41.37,13.75,10.89,36.22,12.0,85.06,14.27,23.65,13.07,12.36,53.52,45.4,13.8,54.0,102.0,69.03,15.84,28.2
2023-02-13,1038.6,16.77,81.43,32.56,46.27,26.09,58.8,77.51,13.63,11.92,18.36,12.99,92.9,41.76,12.8,10.16,35.84,11.7,86.18,13.9,24.5,12.9,12.07,52.96,44.4,13.27,53.4,103.1,68.48,15.39,28.5
2023-02-14,1030.9,16.73,82.11,31.83,46.84,25.68,58.88,77.29,13.77,11.65,18.73,12.88,92.9,41.76,11.95,9.58,35.94,11.85,84.43,14.2,24.4,13.02,12.34,52.39,42.75,13.47,52.9,102.8,67.93,15.11,28.0
2023-02-15,1037.0,17.23,82.5,32.27,47.12,25.86,59.46,78.39,14.11,11.75,18.91,12.99,93.0,42.01,11.15,9.85,36.65,12.0,84.88,14.35,23.35,13.29,12.49,52.67,42.5,13.6,52.9,102.7,69.12,15.57,28.35
