Date,VN30F1M,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-09-19,1223.5,16.03,25.08,47.51,22.82,60.55,79.05,21.71,12.94,20.59,27.81,15.15,112.5,69.28,85.0,46.08,34.47,13.5,82.03,14.95,21.6,17.0,13.12,44.63,58.4,13.86,62.9,115.0,67.19,18.04,29.1
2022-09-20,1232.7,16.07,25.78,48.67,23.27,60.77,79.85,22.28,13.1,20.91,27.6,15.41,113.3,70.46,84.6,46.71,34.47,13.7,83.0,15.55,22.15,17.0,13.33,44.86,58.9,14.02,63.9,116.1,67.72,18.1,29.05
2022-09-21,1219.6,15.86,25.48,49.3,22.87,59.97,79.78,22.04,13.05,20.82,25.99,15.3,112.0,68.79,84.6,46.62,34.38,13.45,83.23,15.44,21.75,16.73,13.26,44.69,58.3,13.83,63.1,115.0,68.71,17.8,28.6
2022-09-22,1225.0,16.0,25.78,49.38,22.73,60.41,81.24,22.37,13.05,20.91,25.99,15.33,110.0,68.89,84.6,46.62,34.06,13.65,82.78,15.85,21.95,16.75,13.31,44.18,57.7,14.15,63.3,115.0,68.71,17.68,28.65
2022-09-23,1210.0,15.86,25.48,52.25,22.37,60.04,82.34,22.14,12.84,20.64,25.87,15.15,108.6,68.2,84.5,45.9,33.75,13.4,82.78,15.51,21.45,16.58,13.15,42.99,57.2,14.02,62.6,112.8,68.53,17.35,28.5
2022-09-26,1192.0,15.58,24.49,51.8,21.03,59.39,83.14,21.8,12.39,20.36,24.46,14.5,107.7,66.82,84.5,45.53,32.75,12.8,81.9,14.65,20.5,16.12,13.07,42.48,55.9,14.18,62.0,110.1,66.12,16.65,26.65
2022-09-27,1185.0,15.72,24.71,51.35,20.99,58.66,81.61,21.57,12.74,20.36,24.3,14.58,107.7,65.94,84.5,45.17,32.11,12.95,82.03,14.68,20.5,16.24,13.07,42.08,54.1,14.62,61.0,110.5,64.69,16.53,26.65
2022-09-28,1165.0,15.44,24.57,50.1,20.85,56.84,76.12,21.05,12.64,19.82,24.3,14.4,102.1,63.87,84.2,45.44,31.66,12.85,81.01,14.83,20.3,16.12,12.94,42.48,51.2,14.33,57.5,110.1,64.15,16.74,26.85
2022-09-29,1148.0,15.44,24.57,47.86,20.23,56.11,76.85,19.81,12.64,19.68,23.93,14.29,100.0,62.89,84.8,45.9,31.16,12.55,80.92,14.5,19.7,16.0,12.97,41.91,50.8,13.93,54.6,110.1,64.95,16.29,27.2
2022-09-30,1150.0,15.58,24.86,47.86,20.76,58.66,80.51,19.81,12.64,19.27,23.18,14.43,99.0,62.89,84.9,46.17,29.85,12.35,81.9,14.87,20.6,15.76,13.12,41.46,50.7,13.83,55.0,110.9,64.6,16.29,28.0
2022-10-03,1102.6,15.16,23.14,44.55,19.33,56.11,78.31,18.44,12.15,17.95,21.57,13.49,94.0,58.57,82.0,46.08,29.35,11.5,80.66,13.86,19.2,14.67,12.52,39.99,50.4,13.3,55.5,110.0,63.44,15.39,26.1
2022-10-04,1102.0,14.74,22.73,43.12,18.57,56.47,77.58,17.3,12.22,17.14,21.61,13.57,90.5,59.94,82.0,46.17,29.03,11.6,83.23,13.37,18.75,14.69,12.49,40.38,50.6,13.36,57.0,112.9,63.35,15.2,26.7
2022-10-05,1115.2,14.59,23.32,45.27,19.69,57.13,78.31,18.11,12.22,17.45,22.73,13.86,91.4,61.12,82.0,46.35,29.94,12.1,83.67,14.01,19.25,14.79,12.6,40.5,53.8,13.49,60.0,115.0,63.97,15.39,27.0
2022-10-06,1080.0,14.03,22.73,43.75,19.15,55.74,78.24,16.87,11.98,16.36,21.69,13.06,86.7,57.0,80.2,45.9,29.21,11.4,82.25,13.07,18.0,14.21,12.6,39.7,53.6,13.05,60.1,114.2,62.54,14.93,26.5
2022-10-07,1032.2,13.09,21.41,43.12,17.85,53.92,74.65,15.74,11.52,16.0,20.66,12.23,81.5,53.06,79.0,44.72,28.85,10.65,82.78,12.62,16.75,13.21,11.73,37.78,53.8,12.57,60.2,115.0,62.36,13.89,26.0
2022-10-10,1032.5,13.12,22.0,44.73,18.52,53.92,77.58,16.02,11.16,16.68,21.4,12.45,80.5,56.11,76.4,45.26,30.39,11.0,81.68,13.07,17.0,12.51,10.92,36.87,53.9,12.54,60.2,110.0,62.99,13.89,25.4
2022-10-11,989.0,12.28,20.9,42.05,17.72,51.74,77.65,14.93,10.7,15.91,20.17,11.58,79.8,54.44,75.0,44.09,29.94,10.25,81.23,12.17,15.85,11.64,10.16,35.12,51.8,12.17,60.0,107.0,62.72,13.89,23.65
2022-10-12,1025.1,13.12,22.33,43.44,18.93,52.76,78.31,15.52,11.09,17.0,21.57,12.38,81.1,56.5,76.0,43.95,30.75,10.6,81.23,12.96,16.95,12.03,10.76,36.25,52.5,12.32,60.0,108.7,63.97,14.48,24.2
2022-10-13,1039.6,14.0,23.8,44.06,20.05,53.19,79.05,15.57,11.09,17.73,21.9,12.56,78.7,56.6,75.5,44.22,30.57,10.6,84.11,13.14,17.65,12.27,10.81,37.66,52.8,12.39,60.4,108.7,65.94,14.48,25.6
2022-10-14,1048.0,14.63,24.2,45.36,20.31,53.92,80.36,16.01,11.23,17.68,21.9,12.84,79.0,58.86,76.0,44.22,30.57,10.8,83.4,13.44,17.65,12.46,10.81,38.57,51.9,12.7,59.7,109.0,66.12,14.62,25.2
